serialNumber,tag,participantID,sensorLocation
D3E676568318,c01,cresh01,wrist
FCC8E6511C94,c02,cresh02,wrist
E8363FC69F8C,c03,cresh03,wrist
EFD0B0C53AE3,c04,cresh04,wrist
C755027DEB01,c05,cresh05,wrist
C9D423A85BE0,c06,cresh06,wrist
F653D06A2C87,c07,cresh07,wrist
D60BB466E3AC,c08,cresh08,wrist
C6CF6E420D9D,c09,cresh09,wrist
C095749A2536,c10,cresh10,wrist
DA3ED231D03F,c11,cresh11,wrist
ECAACA2E8889,c12,cresh12,wrist
F455A2D43EA2,c13,cresh13,wrist
CF9C782CCD54,c14,cresh14,wrist
F00E02E59E6F,c15,cresh15,wrist
